user;deck;start_time;end_time;elapsed_time;questions_n_total;questions_n_checked;questions_n_answered;questions_n_correct;questions_percent_correct
asdf;kertolasku.txt;2023-05-13 01:42:22.356947;2023-05-13 01:42:43.536668;21;169;3;3;0;0.0
adsf;kertolasku.txt;2023-05-13 01:40:25.375447;2023-05-13 01:40:49.502317;24;169;0;2;0;0.0
;kertolasku.txt;2023-05-13 02:22:57.915987;2023-05-13 02:23:13.288913;15;169;4;4;0;0.0
asdf;kertolasku.txt;2023-05-13 02:23:35.693025;2023-05-13 02:23:59.210592;23;169;6;6;0;0.0
;kertolasku.txt;2023-05-13 02:25:28.164926;2023-05-13 02:25:39.296603;11;169;5;5;0;0.0
adsf;kertolasku.txt;2023-05-13 02:25:45.368453;2023-05-13 02:25:57.395228;12;169;5;5;0;0.0
asdf;kertolasku.txt;2023-05-13 03:37:46.111203;2023-05-13 03:37:56.286063;10;169;5;5;0;0.0
afg;kertolasku.txt;2023-05-13 05:41:24.402206;2023-05-13 05:41:40.106773;15;169;5;5;0;0.0
dfasf;kertolasku.txt;2023-05-13 05:55:54.745806;2023-05-13 05:56:07.266936;12;169;5;5;0;0.0
adsf;kertolasku.txt;2023-05-14 01:41:39.373504;2023-05-14 01:41:52.726366;13;169;7;7;0;0.0
ok;kertolasku.txt;2023-05-14 19:32:35.890420;2023-05-14 19:32:51.614374;15;169;5;5;0;0.0
m;yhteenlasku.txt;2023-05-14 19:33:22.918582;2023-05-14 19:33:57.612027;34;21904;1;1;0;0.0
x;yhteenlasku.txt;2023-05-14 19:34:09.610423;2023-05-14 19:34:57.691829;48;21904;4;4;4;0.018261504747991236
adsf;kertolasku.txt;2023-05-15 02:59:54.241367;2023-05-15 03:00:08.561245;14;169;7;7;0;0.0
daf;kertolasku.txt;2023-05-15 03:00:21.365521;2023-05-15 03:00:53.648663;32;169;3;3;3;1.7751479289940828
afds;kertolasku.txt;2023-05-15 15:40:47.993204;2023-05-15 15:40:58.427169;10;169;6;6;0;0.0
adsf;kertolasku.txt;2023-05-15 15:47:51.714571;2023-05-15 15:48:30.514973;38;169;4;4;0;0.0
afds;kertolasku.txt;2023-05-15 15:58:59.768381;2023-05-15 15:59:07.479584;7;169;4;4;0;0.0
adsf;kertolasku.txt;2023-05-15 16:00:11.574610;2023-05-15 16:00:22.638877;11;169;4;4;0;0.0
adsf;kertolasku.txt;2023-05-15 16:03:59.227947;2023-05-15 16:04:07.628184;8;169;4;4;0;0.0
1324;kertolasku.txt;2023-05-15 16:10:59.386105;2023-05-15 16:11:17.564522;18;169;8;8;0;0.0
asdf;Topic1.txt;2023-05-15 22:04:17.373829;2023-05-15 22:04:31.111225;13;2;2;2;0;0.0
asdf;kertolasku.txt;2023-05-15 22:08:07.306346;2023-05-15 22:08:19.263240;11;169;6;6;0;0.0
dsaf;kertolasku.txt;2023-05-15 22:11:40.459520;2023-05-15 22:11:49.458802;8;169;4;4;0;0.0
sadf;kertolasku.txt;2023-05-15 22:23:23.891451;2023-05-15 22:23:35.407279;11;169;4;4;0;0.0
adsf;kertolasku.txt;2023-05-15 22:38:44.262071;2023-05-15 22:38:53.655652;9;169;2;2;0;0.0
;kertolasku.txt;2023-05-15 22:41:05.201492;2023-05-15 22:41:12.661469;7;169;1;1;0;0.0
adsf;kertolasku.txt;2023-05-15 22:42:22.272376;2023-05-15 22:42:29.809339;7;169;1;1;0;0.0
adsf;kertolasku.txt;2023-05-15 22:45:17.002729;2023-05-15 22:45:26.193710;9;169;1;1;0;0.0
asdf;kertolasku.txt;2023-05-15 22:50:54.518279;2023-05-15 22:51:09.312140;14;169;5;5;0;0.0
asdf;kertolasku.txt;2023-05-15 22:53:35.879639;2023-05-15 22:53:44.065294;8;169;1;0;0;0.0
dsaf;kertolasku.txt;2023-05-15 22:56:48.577841;2023-05-15 22:56:58.973871;10;169;4;0;0;0.0
saf;kertolasku.txt;2023-05-15 22:59:19.278921;2023-05-15 22:59:30.775853;11;169;4;0;0;0.0
sadf;kertolasku.txt;2023-05-16 02:33:28.803727;2023-05-16 02:33:39.954196;11;169;4;0;0;0.0
a;kertolasku.txt;2023-05-16 02:44:10.774247;2023-05-16 02:44:19.758919;8;169;2;0;0;0.0
af;kertolasku.txt;2023-05-16 03:12:00.725167;2023-05-16 03:12:08.704628;7;169;3;0;0;0.0
uj;kertolasku.txt;2023-05-16 03:45:09.975119;2023-05-16 03:45:19.742631;9;169;3;0;0;0.0
adsf;kertolasku.txt;2023-05-16 04:08:44.270288;2023-05-16 04:08:53.109599;8;169;2;0;0;0.0
a;Topic2.txt;2023-05-16 04:17:45.530918;2023-05-16 04:18:00.598340;15;2;2;0;0;0.0
s;kertolasku.txt;2023-05-16 04:22:34.122048;2023-05-16 04:22:44.901449;10;169;2;0;0;0.0
aaa;kertolasku.txt;2023-07-08 19:04:24.695416;2023-07-08 19:04:49.788601;25;169;3;3;3;1.7751479289940828
adf;kertolasku.txt;2023-07-08 19:09:29.197319;2023-07-08 19:09:44.230069;15;169;1;1;1;0.591715976331361
adsf;kertolasku.txt;2023-07-08 19:49:08.101812;2023-07-08 19:49:22.422840;14;169;5;0;0;0.0
afdsdsaf;kertolasku.txt;2023-07-08 20:24:56.920989;2023-07-08 20:25:09.589618;12;169;4;0;0;0.0
assssss;kertolasku.txt;2023-07-08 20:26:57.790111;2023-07-08 20:27:08.269487;10;169;4;0;0;0.0
hhhhh;kertolasku.txt;2023-07-08 20:36:15.776424;2023-07-08 20:36:27.259568;11;169;6;0;0;0.0
